项目名称,路径,类别,子类别,大小(MB),文件数,目录数,README存在,包含代码,包含文档,包含图片,包含模型,编程语言,最后修改时间,优先级,复杂度,迁移难度,描述,标签
workflows,.github\workflows,infrastructure,workflows,0.01,2,0,否,是,否,否,否,"JSON, YAML",2025-09-18T02:25:47.434315,low,low,easy,workflows类基础设施,"JSON, YAML, workflows, infrastructure, code"
documents,.trae\documents,docs,other,0.02,2,0,否,是,是,否,否,Markdown,2025-09-18T02:01:49.968775,medium,low,easy,other类文档,"docs, documentation, Markdown, other, code"
rules,.trae\rules,other,unknown,0.01,1,0,否,是,是,否,否,Markdown,2025-09-18T01:59:10.033281,low,low,easy,其他类型项目,"documentation, unknown, Markdown, other, code"
migration_20250918_021003,backup\migration_20250918_021003,other,unknown,231.13,284,99,是,是,是,否,否,"JSON, Makefile, Markdown, Python, YAML",2025-09-18T02:10:10.999932,low,high,hard,其他类型项目,"JSON, Makefile, documentation, unknown, Markdown, other, code"
2024,backup\migration_20250918_021003\competitions\2024,competitions,other,76.44,91,29,是,是,是,否,否,Markdown,2025-08-25T21:19:21.290000,high,medium,hard,🏆 2024年度竞赛项目总览,"competitions, documentation, Markdown, other, code"
projects,backup\migration_20250918_021003\projects,projects,other,12.81,72,33,是,是,是,否,否,"Makefile, Markdown, Python, YAML",2025-08-25T21:19:21.561754,high,high,hard,项目目录 (Projects),"Makefile, Python, documentation, projects, Markdown, other, code"
ai,backup\migration_20250918_021003\projects\ai,projects,ai,0.31,6,2,是,是,是,否,否,"Markdown, YAML",2025-08-25T21:19:21.528464,low,low,easy,🤖 人工智能项目 (AI Projects),"documentation, YAML, Markdown, projects, code, ai"
embedded,backup\migration_20250918_021003\projects\embedded,projects,embedded,3.58,15,4,是,是,是,否,否,Markdown,2025-08-25T21:19:21.531066,medium,low,medium,嵌入式系统项目 (Embedded Projects),"documentation, Markdown, projects, code, embedded"
robotics,backup\migration_20250918_021003\projects\robotics,projects,robotics,0.01,3,4,是,是,是,否,否,Markdown,2025-09-08T23:52:11.647972,low,low,easy,机器人技术项目 (Robotics Projects),"robotics, documentation, projects, Markdown, code"
templates,backup\migration_20250918_021003\projects\templates,projects,templates,0.03,8,3,是,是,是,否,否,"Markdown, YAML",2025-08-25T21:19:21.559951,low,low,easy,项目模板 (Project Templates),"documentation, YAML, projects, Markdown, templates, code"
科研「横向项目」,backup\migration_20250918_021003\projects\科研「横向项目」,projects,research,8.88,39,15,是,是,是,是,否,"Makefile, Markdown, Python, YAML",2025-08-25T21:19:21.629807,medium,medium,hard,research类开发项目,"Makefile, Python, documentation, research, projects, Markdown, code"
models,backup\migration_20250918_021003\shared\models,shared,models,48.37,9,0,是,是,是,否,是,Markdown,2025-08-25T21:19:22.254011,low,medium,medium,📐 3D模型资源库,"documentation, shared, Markdown, models, code"
